Fecha,AAPL,GC=F,MSFT,SPY,WALMEX.MX
2022-05-06,154.32691955566406,1881.199951171875,265.76708984375,389.24017333984375,61.8204231262207
2022-05-09,149.20492553710938,1857.0999755859375,255.9481964111328,376.77783203125,61.67840576171875
2022-05-10,151.60894775390625,1839.9000244140625,260.7076721191406,377.6484375,63.915435791015625
2022-05-11,143.74935913085938,1852.5999755859375,252.0496826171875,371.6490173339844,65.61097717285156
2022-05-12,139.88330078125,1823.800048828125,247.0193634033203,371.2610778808594,65.44230651855469
2022-05-13,144.34783935546875,1807.4000244140625,252.60110473632812,380.1370544433594,65.88615417480469
2022-05-16,142.80734252929688,1813.5,252.96875,378.5947265625,68.10546112060547
2022-05-17,146.43792724609375,1818.199951171875,258.1151428222656,386.3825378417969,68.56705474853516
2022-05-18,138.17599487304688,1815.9000244140625,246.36326599121094,370.80682373046875,67.15559387207031
2022-05-19,134.7711639404297,1841.199951171875,245.45184326171875,368.5357360839844,66.44541931152344
2022-05-20,135.00660705566406,1841.800048828125,244.88941955566406,368.6966552734375,65.42455291748047
2022-05-23,140.42295837402344,1847.800048828125,252.73370361328125,375.59503173828125,64.31490325927734
2022-05-24,137.72459411621094,1865.0999755859375,251.73500061035156,372.72784423828125,63.223018646240234
2022-05-25,137.88162231445312,1846.199951171875,254.54684448242188,376.0207824707031,63.56922149658203
2022-05-26,141.0803985595703,1847.4000244140625,257.82427978515625,383.5341796875,64.41255187988281
2022-05-27,146.8303680419922,1851.300048828125,264.94140625,392.9496154785156,65.10496520996094
2022-05-30,146.8303680419922,1851.300048828125,264.94140625,392.9496154785156,63.57810974121094
2022-05-31,146.04537963867188,1842.699951171875,263.61297607421875,390.74481201171875,64.5989761352539
2022-06-01,145.91783142089844,1843.300048828125,264.1462707519531,387.5842590332031,65.33578491210938
2022-06-02,148.3708953857422,1866.5,266.2406311035156,394.9651794433594,63.29404067993164
2022-06-03,142.65037536621094,1845.4000244140625,261.81915283203125,388.4831848144531,63.19638442993164
2022-06-06,143.39608764648438,1839.199951171875,260.5877685546875,389.6660461425781,61.491973876953125
2022-06-07,145.91783142089844,1847.5,264.22381591796875,393.4038391113281,60.808441162109375
2022-06-08,145.18191528320312,1851.9000244140625,262.1972961425781,389.126708984375,61.56298828125
2022-06-09,139.96180725097656,1848.800048828125,256.74798583984375,379.8721008300781,60.897212982177734
2022-06-10,134.5552978515625,1871.5,245.3063507080078,368.85748291015625,60.0361213684082
2022-06-13,129.40386962890625,1828.0,234.90223693847656,354.8526611328125,60.02725601196289
2022-06-14,130.2672882080078,1809.5,237.06451416015625,353.7833251953125,59.157291412353516
2022-06-15,132.88717651367188,1815.300048828125,244.11373901367188,358.8270568847656,61.287803649902344
2022-06-16,127.61799621582031,1845.699951171875,237.52996826171875,346.9512939453125,60.968223571777344
2022-06-17,129.08984375,1835.5999755859375,240.12850952148438,347.6991882324219,61.10138702392578
2022-06-20,129.08984375,1835.5999755859375,240.12850952148438,347.6991882324219,60.41783905029297
2022-06-21,133.3189239501953,1834.5999755859375,246.03359985351562,356.4520263671875,60.932716369628906
2022-06-22,132.80870056152344,1834.300048828125,245.442138671875,355.8058166503906,58.93535614013672
2022-06-23,135.67384338378906,1825.699951171875,250.99807739257812,359.2936096191406,58.70455551147461
2022-06-24,139.00021362304688,1826.5,259.569580078125,370.71697998046875,59.12178039550781
2022-06-27,139.00021362304688,1820.9000244140625,256.84490966796875,369.3009033203125,60.30243682861328
2022-06-28,134.8594207763672,1817.5,248.6903839111328,361.75506591796875,61.838191986083984
2022-06-29,136.61582946777344,1813.699951171875,252.3555908203125,361.46044921875,61.838191986083984
2022-06-30,134.15296936035156,1804.0999755859375,249.02972412109375,358.5238342285156,61.545230865478516
2022-07-01,136.3214569091797,1798.9000244140625,251.6962127685547,362.3157653808594,62.34418869018555
2022-07-04,136.3214569091797,1798.9000244140625,251.6962127685547,362.3157653808594,61.95359420776367
2022-07-05,138.902099609375,1761.800048828125,254.8669891357422,362.9999084472656,61.838191986083984
2022-07-06,140.236572265625,1734.9000244140625,258.1248474121094,364.2259826660156,61.110252380371094
2022-07-07,143.60215759277344,1737.9000244140625,260.2484130859375,369.6810607910156,61.16352462768555
2022-07-08,144.2791748046875,1740.5999755859375,259.53082275390625,369.3769836425781,60.861698150634766
2022-07-11,142.14993286132812,1730.0,256.4764709472656,365.1573486328125,61.30555725097656
2022-07-12,143.121337890625,1723.300048828125,245.96572875976562,361.92608642578125,62.4595947265625
2022-07-13,142.75828552246094,1734.199951171875,245.04457092285156,360.02532958984375,64.74100494384766
2022-07-14,145.6823272705078,1704.5,246.36326599121094,359.15106201171875,63.29404067993164
2022-07-15,147.3504180908203,1702.4000244140625,248.92308044433594,366.0126953125,64.55459594726562
2022-07-18,144.30865478515625,1709.199951171875,246.52810668945312,362.9905090332031,63.640254974365234
2022-07-19,148.16482543945312,1710.0,251.64773559570312,372.7981872558594,62.9655876159668
2022-07-20,150.16653442382812,1699.5,254.30445861816406,375.1741638183594,63.28515625
2022-07-21,152.4331817626953,1712.699951171875,256.7964782714844,378.9946594238281,64.44806671142578
2022-07-22,151.19680786132812,1727.0999755859375,252.45252990722656,375.4783020019531,65.05171966552734
2022-07-25,150.0782012939453,1719.0,250.968994140625,375.9344177246094,63.79115295410156
2022-07-26,148.75357055664062,1717.699951171875,244.2494659423828,371.48675537109375,62.81467819213867
2022-07-27,153.8461151123047,1719.0999755859375,260.5780334472656,381.1329040527344,63.43606948852539
